Hotels,Ratings
Hotel Evergreen Place Siam by UHG,8.4
Hotel lebua at State Tower (The World’s First Vertical Destination),8.8
Hotel Millennium Hilton Bangkok,8.4
Hotel Novotel Bangkok Platinum Pratunam - SHA Certified,8.5
Hotel Bangkok Marriott Hotel Sukhumvit,8.9
Hotel Pathumwan Princess Hotel,8.9
Hotel Carlton Hotel Bangkok Sukhumvit,9.3
Hotel Royal Orchid Sheraton Hotel and Towers,8.6
"Hotel InterContinental Bangkok, an IHG Hotel",8.9
Hotel Bangkok Marriott Marquis Queen’s Park,8.7
Hotel Oakwood Suites Bangkok - SHA Certified,9.1
Hotel Centre Point Sukhumvit 10,8.6
Apartments The Quarter Ploenchit by UHG,8.9
Hotel The Continent Hotel Bangkok by Compass Hospitality,8.2
Hotel Asoke Residence Sukhumvit by UHG,8.4
Hotel The Quarter Ari by UHG,8.9
Hotel Ibis Bangkok Riverside,8.1
Hotel ibis Bangkok Siam,8.1
Hotel Siam Kempinski Hotel Bangkok,9.2
"Hotel Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok",9.2
