"Hotel Mandarin Oriental, Kuala Lumpur",9.1,7.5495
Hotel Grand Hyatt Kuala Lumpur,9.1,2.057
Hotel Traders Hotel Kuala Lumpur,8.8,4.404
"Hotel The Majestic Hotel Kuala Lumpur, Autograph Collection",8.9,5.095
Hotel Pullman Kuala Lumpur City Centre Hotel & Residences,8.6,6.8165
Hotel DoubleTree By Hilton Kuala Lumpur,8.3,4.005
Hotel Dorsett Kuala Lumpur,7.9,6.8975
Hotel Hilton Kuala Lumpur,8.8,9.292
"Hotel The Ritz-Carlton, Kuala Lumpur",8.7,7.1365
Condo Hotel THE FACE Suites,8.6,5.058
Hotel Hilton Garden Inn Kuala Lumpur - South,8.2,4.019
"Hotel Berjaya Times Square Hotel, Kuala Lumpur",7.7,4.404
Hotel Dorsett Hartamas Kuala Lumpur,7.9,6.8
Hotel Shangri-La Hotel Kuala Lumpur,9,5.561
Hotel Komune Living,8.2,4.9315
Hotel Le Méridien Kuala Lumpur,9.1,8.126
Apartments Ascott Kuala Lumpur,8.7,8.1475
Hotel Alila Bangsar Kuala Lumpur,8.9,7.313
Apartments Somerset Kuala Lumpur,8.7,5.849
Apartments Expressionz Professional Suites by MyKey Global,7.7,8.334
