Hotels,Rating
Hotel Marina Bay Sands (SG Clean),9
"Hotel Carlton Hotel Singapore (SG Clean, Staycation Approved)",8.8
Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean),8.6
"Hotel The Fullerton Hotel Singapore (SG Clean, Staycation Approved)",9.1
"Hotel Pan Pacific Singapore (SG Clean, Staycation Approved)",9
Hotel Hotel Boss (SG Clean),7.5
Hotel Mandarin Orchard Singapore (SG Clean / Staycation Approved),8.4
"Hotel PARKROYAL COLLECTION Pickering, Singapore (SG Clean,Staycation Approved)",8.9
"Hotel M Social Singapore (SG Clean, Staycation Approved)",9
"Hotel Four Seasons Hotel Singapore (SG Clean, Staycation Approved)",8.2
"Hotel The Ritz-Carlton, Millenia Singapore (SG Clean)",8.9
"Resort Amara Sanctuary Resort Sentosa (SG Clean, Staycation Approved)",9.2
"Hotel YOTEL Singapore Orchard Road (SG Clean, Staycation Approved)",9.2
Hotel Village Hotel Bugis by Far East Hospitality (SG Clean),7.4
Hotel Grand Hyatt Singapore (SG Clean),8.6
Hotel Andaz Singapore – A Concept by Hyatt (SG Clean),7.9
"Hotel InterContinental Singapore (SG Clean), an IHG Hotel",8.6
Resort Sofitel Singapore Sentosa Resort & Spa (SG Clean),9.1
"Hotel Pickering,",8.7
Condo Hotel Citadines Balestier (SG Clean),7.8
"Condo Hotel Pan Pacific Serviced Suites Beach Road (SG Clean, Staycation Approved)",8.5
