Hotel,Polarit Score,lat,lng
"Hotel Carlton Hotel Singapore (SG Clean, Staycation Approved)",9.2565,1.3,103.8
Resort Shangri-La's Rasa Sentosa Resort & Spa (SG Clean),9.2225,1.3778,103.7442
"Hotel Four Seasons Hotel Singapore (SG Clean, Staycation Approved)",9.139,1.3833,103.75
Condo Hotel Citadines Balestier (SG Clean),9.1,1.3817,103.7525
Hotel Village Hotel Bugis by Far East Hospitality (SG Clean),8.983,1.3972,103.8719
Hotel Mandarin Orchard Singapore (SG Clean / Staycation Approved),8.834,1.3956,103.8692
Hotel Hotel Boss (SG Clean),8.6835,1.39,103.9072
Hotel Andaz Singapore Ã¢â‚¬â€œ A Concept by Hyatt (SG Clean),8.6085,1.3819,103.7364
Hotel Marina Bay Sands (SG Clean),8.5925,1.4456,103.7969
Resort Sofitel Singapore Sentosa Resort & Spa (SG Clean),8.083,1.4363,103.7867
