Hotel,Polarit Score,lat,lng
"Hotel Four Seasons Hotel Singapore (SG Clean, Staycation Approved)",9.2,1.4406,103.801
"Hotel The Ritz-Carlton, Millenia Singapore (SG Clean)",9.2,1.3164,103.8829
"Hotel The Fullerton Hotel Singapore (SG Clean, Staycation Approved)",9.1,1.3699,103.8496
Hotel Andaz Singapore â€“ A Concept by Hyatt (SG Clean),9.1,1.3881,103.9054
Hotel Marina Bay Sands (SG Clean),9,1.38,103.7727
"Hotel Pan Pacific Singapore (SG Clean, Staycation Approved)",9,1.3428,103.8797
"Hotel PARKROYAL COLLECTION Pickering, Singapore (SG Clean,Staycation Approved)",9,1.2819,103.8591
"Condo Hotel Pan Pacific Serviced Suites Beach Road (SG Clean, Staycation Approved)",8.9,1.2819,103.8591
Condo Hotel Citadines Balestier (SG Clean),8.9,1.3412,103.7758
"Hotel Carlton Hotel Singapore (SG Clean, Staycation Approved)",8.8,1.324,103.93
